country,population,region,"estimated prevalence of modern slavery per 1,000 population",estimated number of people in modern slavery,governance issues,lack of basic needs,inequality,disenfranchised groups,effects of conflict,total vulnerability score (%),survivors of slavery are identified and supported to exit and remain out of modern slavery (%),criminal justice mechanisms function effectively to prevent modern slavery (%),"coordination occurs at the national and regional level and across borders, and governments are held to account for their response (%)","risk factors, such as attitudes, social systems, and institutions that enable modern slavery are addressed (%)",government and business stop sourcing goods and services produced by forced labour (%),government response total (%),year,corruption,year_democracy,democracy score,year_migration,migration
Indonesia,273524000,Asia and the Pacific,6.7,1833000.0,35.0,48.0,46.0,77.0,39.0,49.0,45.0,65.0,50.0,57.0,0.0,50.0,2023.0,34.0,2023.0,6.53,2023.0,-49997.0
Iran,83993000,Asia and the Pacific,7.1,597000.0,80.0,35.0,45.0,82.0,40.0,68.0,-5.0,19.0,25.0,0.0,0.0,8.0,2023.0,24.0,,,,
Iraq,40223000,Arab States,5.5,221000.0,78.0,44.0,63.0,78.0,83.0,82.0,41.0,38.0,38.0,29.0,0.0,33.0,2023.0,23.0,2023.0,2.88,2023.0,-6000.0
Ireland,4938000,Europe and Central Asia,1.1,5000.0,14.0,25.0,27.0,18.0,18.0,9.0,59.0,69.0,88.0,64.0,25.0,63.0,2023.0,77.0,2023.0,9.19,2023.0,9999.0
Israel,8656000,Europe and Central Asia,3.8,33000.0,46.0,32.0,28.0,44.0,25.0,35.0,41.0,50.0,63.0,57.0,0.0,45.0,2023.0,62.0,2023.0,7.8,2023.0,9999.0
Italy,60462000,Europe and Central Asia,3.3,197000.0,22.0,24.0,38.0,39.0,26.0,22.0,50.0,65.0,63.0,79.0,25.0,59.0,2023.0,56.0,2023.0,7.69,2023.0,58496.0
Jamaica,2961000,Americas,7.3,22000.0,39.0,38.0,79.0,52.0,12.0,45.0,41.0,62.0,88.0,57.0,0.0,51.0,2023.0,44.0,2023.0,7.06,2023.0,-10999.0
Japan,126476000,Asia and the Pacific,1.1,144000.0,17.0,20.0,17.0,40.0,19.0,11.0,45.0,42.0,63.0,57.0,0.0,44.0,2023.0,73.0,2023.0,8.4,2023.0,99994.0
Jordan,10203000,Arab States,10.0,102000.0,51.0,38.0,35.0,80.0,27.0,49.0,50.0,54.0,50.0,50.0,0.0,46.0,2023.0,46.0,2023.0,3.04,2023.0,-157392.0
Kazakhstan,18777000,Europe and Central Asia,11.1,208000.0,54.0,21.0,36.0,68.0,21.0,42.0,45.0,50.0,50.0,64.0,0.0,46.0,2023.0,39.0,2023.0,3.08,2023.0,0.0
Kenya,53771000,Africa,5.0,269000.0,57.0,57.0,48.0,68.0,63.0,66.0,55.0,50.0,50.0,50.0,0.0,46.0,2023.0,31.0,2023.0,5.05,2023.0,-10000.0
Kosovo, -   ,Europe and Central Asia,8.0,14000.0,58.0,26.0,34.0,62.0,1.0,40.0,59.0,50.0,50.0,36.0,0.0,45.0,2023.0,41.0,,,2023.0,-5000.0
Kuwait,4271000,Arab States,13.0,55000.0,44.0,31.0,30.0,61.0,31.0,39.0,36.0,42.0,50.0,43.0,0.0,37.0,2023.0,46.0,2023.0,3.5,2023.0,11999.0
Kyrgyzstan,6524000,Europe and Central Asia,8.7,57000.0,65.0,34.0,42.0,76.0,18.0,55.0,41.0,65.0,63.0,43.0,0.0,47.0,2023.0,26.0,2023.0,3.7,,
Lao PDR,7276000,Asia and the Pacific,5.2,38000.0,57.0,55.0,38.0,60.0,10.0,52.0,59.0,50.0,50.0,43.0,0.0,46.0,2023.0,28.0,,,2023.0,-9999.0
Latvia,1886000,Europe and Central Asia,3.4,6000.0,16.0,20.0,34.0,41.0,26.0,17.0,64.0,65.0,63.0,57.0,25.0,59.0,2023.0,60.0,2023.0,7.38,2023.0,-7630.0
Lebanon,6825000,Arab States,7.6,52000.0,59.0,45.0,45.0,74.0,42.0,60.0,32.0,42.0,50.0,29.0,0.0,33.0,2023.0,24.0,2023.0,3.56,2023.0,-177331.0
Lesotho,2142000,Africa,1.6,4000.0,62.0,69.0,51.0,56.0,1.0,59.0,36.0,50.0,50.0,43.0,0.0,40.0,2023.0,39.0,2023.0,6.06,2023.0,-4000.0
Liberia,5058000,Africa,3.1,16000.0,55.0,64.0,39.0,67.0,13.0,56.0,50.0,42.0,50.0,43.0,0.0,41.0,2023.0,25.0,2023.0,5.57,2023.0,-5000.0
Libya,6871000,Africa,6.8,47000.0,76.0,49.0,64.0,66.0,82.0,80.0,-9.0,35.0,25.0,-7.0,0.0,10.0,2023.0,18.0,,,2023.0,-2000.0
Liechtenstein, -   ,Europe and Central Asia,,,,,,,,,27.0,42.0,25.0,29.0,13.0,31.0,,,,,2023.0,150.0
Lithuania,2722000,Europe and Central Asia,6.1,17000.0,25.0,19.0,29.0,56.0,16.0,21.0,59.0,65.0,50.0,64.0,25.0,58.0,2023.0,61.0,2023.0,7.31,2023.0,-13128.0
Luxembourg,626000,Europe and Central Asia,,,,,,,,,50.0,62.0,50.0,50.0,25.0,51.0,2023.0,78.0,2023.0,8.81,2023.0,4883.0
Madagascar,27691000,Africa,4.6,127000.0,48.0,60.0,65.0,74.0,18.0,60.0,41.0,65.0,25.0,36.0,0.0,42.0,2023.0,25.0,2023.0,5.26,2023.0,-1500.0
Malawi,19130000,Africa,4.9,93000.0,49.0,52.0,54.0,77.0,15.0,55.0,55.0,46.0,38.0,21.0,0.0,38.0,2023.0,34.0,2023.0,5.85,2023.0,-6000.0
Malaysia,32366000,Asia and the Pacific,6.3,202000.0,30.0,33.0,38.0,72.0,33.0,37.0,41.0,58.0,50.0,50.0,0.0,45.0,2023.0,50.0,2023.0,7.29,2023.0,48997.0
Maldives,541000,Asia and the Pacific,,,,,,,,,41.0,38.0,38.0,50.0,0.0,37.0,2023.0,39.0,,,2023.0,-8652.0
Mali,20251000,Africa,5.2,106000.0,63.0,43.0,63.0,71.0,84.0,73.0,23.0,50.0,50.0,14.0,0.0,31.0,2023.0,28.0,2023.0,2.58,2023.0,-39998.0
