prevalence_per_1000,total_victims,governance_score,basic_needs_score,inequality_score,disenfranchised_score,conflict_score,vulnerability_total,victim_support_score,justice_score,coordination_score,risk_address_score,supply_chain_score,government_response_total,country,population,region,corruption_score,democracy_score,migration_rate,year
8.0,14000.0,58.0,26.0,34.0,62.0,1.0,40.0,59.0,50.0,50.0,36.0,0.0,45.0,Kosovo, -   ,Europe and Central Asia,41.0,6.17,-5000.0,2023
13.0,55000.0,44.0,31.0,30.0,61.0,31.0,39.0,36.0,42.0,50.0,43.0,0.0,37.0,Kuwait,4271000,Arab States,46.0,3.5,11999.0,2023
8.7,57000.0,65.0,34.0,42.0,76.0,18.0,55.0,41.0,65.0,63.0,43.0,0.0,47.0,Kyrgyzstan,6524000,Europe and Central Asia,26.0,3.7,-3958.0,2023
3.4,6000.0,16.0,20.0,34.0,41.0,26.0,17.0,64.0,65.0,63.0,57.0,25.0,59.0,Latvia,1886000,Europe and Central Asia,60.0,7.38,-7630.0,2023
7.6,52000.0,59.0,45.0,45.0,74.0,42.0,60.0,32.0,42.0,50.0,29.0,0.0,33.0,Lebanon,6825000,Arab States,24.0,3.56,-177331.0,2023
1.6,4000.0,62.0,69.0,51.0,56.0,1.0,59.0,36.0,50.0,50.0,43.0,0.0,40.0,Lesotho,2142000,Africa,39.0,6.06,-4000.0,2023
3.1,16000.0,55.0,64.0,39.0,67.0,13.0,56.0,50.0,42.0,50.0,43.0,0.0,41.0,Liberia,5058000,Africa,25.0,5.57,-5000.0,2023
6.8,47000.0,76.0,49.0,64.0,66.0,82.0,80.0,-9.0,35.0,25.0,-7.0,0.0,10.0,Libya,6871000,Africa,18.0,6.17,-2000.0,2023
6.1,17000.0,25.0,19.0,29.0,56.0,16.0,21.0,59.0,65.0,50.0,64.0,25.0,58.0,Lithuania,2722000,Europe and Central Asia,61.0,7.31,-13128.0,2023
5.45,69000.0,49.0,34.5,41.0,63.0,24.0,47.5,50.0,62.0,50.0,50.0,25.0,51.0,Luxembourg,626000,Europe and Central Asia,78.0,8.81,4883.0,2023
4.6,127000.0,48.0,60.0,65.0,74.0,18.0,60.0,41.0,65.0,25.0,36.0,0.0,42.0,Madagascar,27691000,Africa,25.0,5.26,-1500.0,2023
4.9,93000.0,49.0,52.0,54.0,77.0,15.0,55.0,55.0,46.0,38.0,21.0,0.0,38.0,Malawi,19130000,Africa,34.0,5.85,-6000.0,2023
6.3,202000.0,30.0,33.0,38.0,72.0,33.0,37.0,41.0,58.0,50.0,50.0,0.0,45.0,Malaysia,32366000,Asia and the Pacific,50.0,7.29,48997.0,2023
5.2,106000.0,63.0,43.0,63.0,71.0,84.0,73.0,23.0,50.0,50.0,14.0,0.0,31.0,Mali,20251000,Africa,28.0,2.58,-39998.0,2023
32.0,149000.0,78.0,46.0,38.0,87.0,15.0,66.0,27.0,54.0,38.0,29.0,0.0,35.0,Mauritania,4650000,Africa,30.0,4.14,3000.0,2023
1.5,2000.0,21.0,25.0,39.0,47.0,8.0,20.0,32.0,50.0,25.0,43.0,0.0,36.0,Mauritius,1272000,Africa,51.0,8.14,0.0,2023
6.6,850000.0,49.0,35.0,69.0,49.0,75.0,58.0,50.0,65.0,88.0,57.0,0.0,55.0,Mexico,128933000,Americas,31.0,5.14,-50239.0,2023
4.0,13000.0,50.0,50.0,44.0,67.0,14.0,50.0,36.0,54.0,25.0,43.0,13.0,40.0,Mongolia,3278000,Asia and the Pacific,33.0,6.48,-850.0,2023
5.45,69000.0,49.0,34.5,41.0,63.0,24.0,47.5,68.0,73.0,63.0,57.0,0.0,60.0,Montenegro,628000,Europe and Central Asia,46.0,6.67,-480.0,2023
2.3,85000.0,51.0,34.0,40.0,61.0,20.0,44.0,23.0,54.0,50.0,57.0,0.0,40.0,Morocco,36911000,Africa,38.0,5.04,-39998.0,2023
3.0,93000.0,58.0,63.0,57.0,58.0,54.0,67.0,50.0,54.0,50.0,43.0,0.0,45.0,Mozambique,31255000,Africa,25.0,3.51,-5000.0,2023
12.1,657000.0,65.0,50.0,34.0,75.0,69.0,67.0,50.0,42.0,75.0,36.0,0.0,42.0,Myanmar,54410000,Asia and the Pacific,20.0,6.17,-34998.0,2023
2.4,6000.0,38.0,61.0,55.0,57.0,10.0,47.0,55.0,46.0,25.0,57.0,0.0,44.0,Namibia,2541000,Africa,49.0,6.52,-3916.0,2023
3.3,97000.0,47.0,55.0,39.0,38.0,33.0,46.0,36.0,58.0,63.0,50.0,0.0,45.0,Nepal,29137000,Asia and the Pacific,35.0,4.6,-62012.0,2023
0.6,10000.0,11.0,19.0,23.0,18.0,24.0,6.0,77.0,62.0,88.0,64.0,38.0,67.0,Netherlands,17135000,Europe and Central Asia,79.0,9.0,29998.0,2023
1.6,8000.0,14.0,23.0,11.0,31.0,17.0,8.0,45.0,65.0,50.0,64.0,25.0,54.0,New Zealand,4822000,Asia and the Pacific,85.0,9.61,12999.0,2023
7.3,49000.0,52.0,44.0,58.0,63.0,29.0,54.0,27.0,50.0,38.0,43.0,0.0,36.0,Nicaragua,6625000,Americas,17.0,2.26,-8000.0,2023
4.6,112000.0,68.0,59.0,63.0,64.0,66.0,76.0,23.0,54.0,50.0,43.0,0.0,37.0,Niger,24207000,Africa,32.0,2.37,1000.0,2023
7.8,1611000.0,57.0,55.0,58.0,78.0,93.0,76.0,68.0,58.0,50.0,57.0,0.0,54.0,Nigeria,206140000,Africa,25.0,4.23,-59996.0,2023
0.5,3000.0,4.0,26.0,14.0,14.0,21.0,1.0,55.0,73.0,75.0,64.0,38.0,63.0,Norway,5421000,Europe and Central Asia,84.0,9.81,27998.0,2023
6.5,33000.0,58.0,33.0,21.0,64.0,4.0,40.0,41.0,38.0,50.0,50.0,0.0,38.0,Oman,5107000,Arab States,43.0,3.12,0.0,2023
10.6,2349000.0,78.0,54.0,46.0,70.0,83.0,80.0,36.0,42.0,50.0,43.0,0.0,37.0,Pakistan,220892000,Asia and the Pacific,29.0,3.25,-165988.0,2023
4.7,20000.0,36.0,31.0,50.0,51.0,8.0,33.0,41.0,65.0,50.0,71.0,0.0,51.0,Panama,4315000,Americas,35.0,6.91,7262.0,2023
10.3,93000.0,69.0,68.0,100.0,60.0,21.0,79.0,23.0,42.0,50.0,29.0,0.0,31.0,Papua New Guinea,8947000,Asia and the Pacific,29.0,6.03,-800.0,2023
6.4,46000.0,46.0,38.0,59.0,63.0,19.0,47.0,41.0,69.0,63.0,43.0,0.0,49.0,Paraguay,7133000,Americas,28.0,6.0,-12499.0,2023
7.1,234000.0,42.0,41.0,53.0,63.0,30.0,47.0,59.0,65.0,63.0,57.0,0.0,55.0,Peru,32972000,Americas,33.0,5.81,-61442.0,2023
7.8,859000.0,55.0,53.0,58.0,60.0,70.0,66.0,59.0,73.0,75.0,50.0,13.0,59.0,Philippines,109581000,Asia and the Pacific,34.0,6.66,-69996.0,2023
5.5,209000.0,19.0,22.0,33.0,52.0,15.0,19.0,50.0,65.0,75.0,50.0,25.0,55.0,Poland,37847000,Europe and Central Asia,54.0,7.18,-910475.0,2023
3.8,39000.0,6.0,21.0,24.0,41.0,8.0,6.0,73.0,73.0,75.0,64.0,25.0,67.0,Portugal,10197000,Europe and Central Asia,61.0,7.75,9999.0,2023
6.8,20000.0,48.0,41.0,11.0,70.0,13.0,38.0,59.0,42.0,63.0,64.0,0.0,49.0,Qatar,2881000,Arab States,58.0,3.65,0.0,2023
7.5,145000.0,27.0,23.0,35.0,62.0,12.0,26.0,59.0,65.0,75.0,50.0,25.0,58.0,Romania,19238000,Europe and Central Asia,46.0,6.45,-254616.0,2023
4.3,55000.0,40.0,61.0,39.0,78.0,31.0,53.0,55.0,62.0,38.0,57.0,0.0,50.0,Rwanda,12952000,Africa,53.0,3.3,-8999.0,2023
21.3,740000.0,66.0,29.0,22.0,68.0,47.0,53.0,59.0,54.0,63.0,43.0,0.0,49.0,Saudi Arabia,34814000,Arab States,52.0,6.17,28998.0,2023
2.9,49000.0,58.0,43.0,41.0,69.0,20.0,53.0,36.0,50.0,63.0,36.0,0.0,40.0,Senegal,16744000,Africa,43.0,5.48,-19999.0,2023
7.0,61000.0,35.0,33.0,34.0,64.0,21.0,34.0,64.0,69.0,63.0,50.0,0.0,56.0,Serbia,8737000,Europe and Central Asia,36.0,6.33,-9999.0,2023
3.4,27000.0,49.0,64.0,48.0,65.0,19.0,55.0,27.0,46.0,38.0,36.0,0.0,33.0,Sierra Leone,7977000,Africa,35.0,4.32,-4000.0,2023
2.1,12000.0,39.0,23.0,13.0,51.0,13.0,24.0,55.0,54.0,38.0,57.0,0.0,47.0,Singapore,5850000,Asia and the Pacific,83.0,6.18,26998.0,2023
7.7,42000.0,14.0,19.0,31.0,59.0,14.0,16.0,50.0,62.0,63.0,79.0,25.0,58.0,Slovakia,5460000,Europe and Central Asia,38.5,7.07,-3958.0,2023
4.4,9000.0,13.0,19.0,20.0,49.0,1.0,9.0,50.0,65.0,63.0,64.0,25.0,56.0,Slovenia,2079000,Europe and Central Asia,56.0,7.75,2000.0,2023
6.2,98000.0,93.0,62.0,68.0,86.0,80.0,98.0,9.0,27.0,25.0,21.0,0.0,18.0,Somalia,15893000,Africa,11.0,6.17,-30000.0,2023
2.7,158000.0,41.0,51.0,74.0,49.0,32.0,52.0,45.0,69.0,63.0,57.0,0.0,53.0,South Africa,59309000,Africa,41.0,7.05,58496.0,2023
10.3,115000.0,99.0,57.0,73.0,86.0,75.0,100.0,50.0,54.0,50.0,50.0,0.0,47.0,South Sudan,11194000,Africa,13.0,6.17,-23291.0,2023
2.3,108000.0,12.0,25.0,23.0,24.0,28.0,10.0,55.0,73.0,75.0,71.0,25.0,63.0,Spain,46755000,Europe and Central Asia,60.0,8.07,39998.0,2023
6.5,139000.0,60.0,34.0,43.0,69.0,42.0,56.0,45.0,65.0,50.0,50.0,0.0,49.0,Sri Lanka,21413000,Asia and the Pacific,34.0,6.17,-77495.0,2023
4.0,174000.0,86.0,48.0,42.0,77.0,83.0,82.0,9.0,46.0,38.0,21.0,0.0,26.0,Sudan,43849000,Africa,20.0,6.17,-9999.0,2023
5.45,69000.0,49.0,34.5,41.0,63.0,24.0,47.5,36.0,35.0,25.0,36.0,0.0,31.0,Suriname,587000,Americas,40.0,6.88,-1000.0,2023
0.6,6000.0,12.0,20.0,24.0,11.0,33.0,7.0,59.0,69.0,63.0,79.0,25.0,63.0,Sweden,10099000,Europe and Central Asia,82.0,9.39,39998.0,2023
0.5,4000.0,25.0,24.0,15.0,31.0,13.0,14.0,50.0,50.0,50.0,64.0,25.0,50.0,Switzerland,8655000,Europe and Central Asia,82.0,9.14,39998.0,2023
14.0,133000.0,69.0,47.0,44.0,88.0,33.0,67.0,23.0,54.0,50.0,36.0,0.0,36.0,Tajikistan,9538000,Europe and Central Asia,20.0,6.17,-19999.0,2023
5.7,401000.0,42.0,32.0,47.0,58.0,55.0,46.0,50.0,65.0,75.0,64.0,0.0,55.0,Thailand,69800000,Asia and the Pacific,35.0,6.35,18999.0,2023
6.1,8000.0,46.0,56.0,52.0,67.0,10.0,51.0,32.0,42.0,50.0,36.0,0.0,35.0,Timor-Leste,1318000,Asia and the Pacific,43.0,6.17,-5000.0,2023
3.3,28000.0,60.0,51.0,48.0,68.0,13.0,57.0,27.0,42.0,38.0,43.0,0.0,33.0,Togo,8279000,Africa,31.0,2.99,-2000.0,2023
4.7,7000.0,41.0,31.0,59.0,49.0,8.0,38.0,50.0,65.0,63.0,36.0,0.0,49.0,Trinidad and Tobago,1399000,Americas,42.0,7.16,-800.0,2023
2.3,27000.0,54.0,31.0,39.0,66.0,33.0,48.0,50.0,54.0,50.0,57.0,0.0,47.0,Tunisia,11819000,Africa,40.0,5.51,-4000.0,2023
11.9,72000.0,68.0,20.0,24.0,76.0,16.0,47.0,14.0,46.0,25.0,21.0,0.0,26.0,Turkmenistan,6031000,Europe and Central Asia,18.0,6.17,-4000.0,2023
1.8,122000.0,12.0,25.0,28.0,30.0,34.0,14.0,59.0,81.0,75.0,71.0,38.0,68.0,UK,67886000,Europe and Central Asia,71.0,8.28,165790.0,2023
3.3,1091000.0,28.0,28.0,29.0,36.0,33.0,25.0,86.0,62.0,63.0,64.0,38.0,67.0,USA,331003000,Americas,69.0,7.85,999700.0,2023
4.2,190000.0,48.0,73.0,52.0,71.0,29.0,62.0,50.0,50.0,75.0,43.0,0.0,46.0,Uganda,45741000,Africa,26.0,4.49,-126181.0,2023
12.8,559000.0,49.0,27.0,41.0,66.0,50.0,48.0,64.0,54.0,63.0,50.0,0.0,51.0,Ukraine,43734000,Europe and Central Asia,36.0,5.06,1784718.0,2023
13.4,132000.0,57.0,27.0,22.0,68.0,6.0,40.0,59.0,42.0,75.0,64.0,0.0,50.0,United Arab Emirates,9890000,Arab States,68.0,3.01,0.0,2023
1.9,7000.0,41.0,25.0,48.0,22.0,9.0,27.0,55.0,73.0,50.0,64.0,0.0,56.0,Uruguay,3474000,Americas,73.0,8.66,-1500.0,2023
7.4,249000.0,72.0,34.0,37.0,66.0,23.0,56.0,45.0,54.0,50.0,57.0,0.0,46.0,Uzbekistan,33469000,Europe and Central Asia,33.0,6.17,-19999.0,2023
6.0,180000.0,78.0,60.0,64.0,88.0,80.0,89.0,50.0,54.0,50.0,50.0,0.0,47.0,Yemen,29826000,Arab States,16.0,6.17,-3958.0,2023
5.1,94000.0,47.0,61.0,64.0,80.0,7.0,58.0,50.0,46.0,50.0,57.0,0.0,45.0,Zambia,18384000,Africa,37.0,5.8,-5000.0,2023
5.0,74000.0,74.0,62.0,61.0,81.0,22.0,75.0,27.0,35.0,38.0,21.0,0.0,27.0,Zimbabwe,14863000,Africa,24.0,3.04,-9999.0,2023
