country,population,region,"est. prevalence of population in modern slavery (victims per 1,000 population)",est. number of people in modern slavery,factor one governance issues,factor two nourishment and access,factor three inequality,factor four disenfranchised groups,factor five effects of conflict,"final overall (normalised, weighted) vulnerability score",support survivors,%,criminal justice,%.1,coordination,%.2,neg government  complicity (1.4.3),neg state-imposed forced labour (1.8.1),address risk,%.3,supply chains,%.4,sum/104,sum neg,total,credit rating,year,corruption,year_democracy,democracy score,year_gdppercapita,gdp per capita,year_lfpr,female,male,total_lfpr,year_migration,migration
Guyana,769000.0,Americas,2.6,2000,49.5,25.6,60.4,28.1,12.4,45.4,3.0,33.1,2.7,44.4,1.0,25.0,-1.0,0.0,3.2,45.2,0.0,0.0,9.8,-1.0,31.5,CCC,2018.0,37.0,2018.0,6.67,2018.0,12374.208,2018.0,45.469,69.896,57.398,2018.0,30080.0
Haiti,10711000.0,Americas,5.6,59000,62.4,49.7,54.1,56.8,20.1,69.6,4.5,49.6,2.6,42.8,0.8,18.8,0.0,0.0,3.3,47.6,0.0,0.0,11.1,0.0,39.7,CCC,2018.0,20.0,2018.0,4.91,2018.0,3209.4297,2018.0,64.285,70.267,67.254,2018.0,-35007.0
Honduras,8961000.0,Americas,3.4,30000,55.5,26.5,58.9,36.5,32.7,55.5,2.5,27.6,1.5,25.6,2.5,62.5,0.0,0.0,3.8,54.8,0.0,0.0,10.4,0.0,37.0,CCC,2018.0,29.0,2018.0,5.63,2018.0,5561.2627,2018.0,51.862,84.551,68.357,2018.0,-6768.0
"Hong Kong, China",7246000.0,Asia and the Pacific,1.4,10000,39.3,9.6,24.7,28.4,15.0,24.7,2.7,30.2,0.6,10.0,0.5,12.5,0.0,0.0,2.2,31.0,0.0,0.0,6.0,0.0,21.4,CC,,,,,,,,,,,,
Hungary,9784000.0,Europe and Central Asia,3.7,36000,23.9,14.8,32.9,48.3,15.5,23.6,5.8,64.8,2.8,47.2,2.3,56.3,0.0,0.0,5.0,71.4,0.4,18.3,16.3,0.0,58.2,BB,2018.0,46.0,2018.0,6.63,2018.0,31117.28,2018.0,64.827,78.976,71.888,2018.0,31976.0
Iceland,330000.0,Europe and Central Asia,2.1,"<1,000",20.6,11.7,21.1,4.1,1.8,4.2,4.4,48.7,3.3,54.4,1.5,37.5,0.0,0.0,3.7,52.4,0.2,8.3,13.0,0.0,46.4,B,2018.0,76.0,2018.0,9.58,2018.0,56816.566,2018.0,84.555,89.969,87.358,2018.0,6611.0
India,1309054000.0,Asia and the Pacific,6.1,7989000,46.2,29.8,32.4,41.1,80.0,55.5,4.2,46.3,3.2,53.3,2.3,56.3,0.0,0.0,3.2,45.2,0.0,0.0,12.8,0.0,45.7,B,2018.0,41.0,2018.0,7.23,2018.0,6436.1533,2018.0,28.339,78.327,54.221,2018.0,-561563.0
Indonesia,258162000.0,Asia and the Pacific,4.7,1220000,43.7,38.0,35.8,53.3,32.2,50.5,4.3,47.8,3.6,60.0,2.0,50.0,0.0,0.0,4.3,61.9,0.0,0.0,14.2,0.0,50.8,BB,2018.0,38.0,2018.0,6.39,2018.0,11397.432,2018.0,55.564,84.17,70.062,2018.0,-39878.0
"Iran, Islamic Republic of",79360000.0,Asia and the Pacific,16.2,1289000,74.6,25.5,35.8,37.3,39.5,63.3,0.7,7.4,0.6,9.4,0.0,0.0,-1.0,0.0,1.7,23.8,0.0,0.0,2.9,-1.0,6.8,D,,,,,,,,,,,,
Iraq,36116000.0,Arab States,4.8,174000,72.6,34.9,65.2,46.6,89.4,85.7,,,,,,,,,,,,,,,,,2018.0,18.0,2018.0,4.06,2018.0,9995.05,2018.0,11.933,75.64,43.562,2018.0,6660.0
